"","TPR","TNR","PPV","NPV"
"BRGL",76.6666666666667,70,59.5029239766082,82.2134387351779
"Lasso",73.3333333333333,80,67.7083333333333,83.3333333333333
"EN",86.6666666666667,70,65.1086956521739,90.9090909090909
"OSCAR",73.3333333333333,78,65.625,82.0855614973262
"BLasso",46.6666666666667,66,45.2083333333333,67.3333333333333
"BEN",66.6666666666667,74,62.7450980392157,79.1304347826087
