"BRGL","Lasso","EN","OSCAR","BLasso","BEN"
62.369,2.48200000000003,6.39300000000003,133.079,1.47500000000002,1.97500000000002
62.369,1.50999999999999,4.98099999999999,136.013,1.69800000000004,1.78100000000001
61.262,0.473000000000013,5.00100000000003,136.649,1.83500000000004,1.49599999999998
60.905,0.596000000000004,5.08000000000004,136.456,1.94799999999998,1.51900000000001
64.294,2.17700000000002,5.31999999999999,132.381,1.51499999999999,1.97800000000001
62.201,1.46499999999997,5.98400000000004,134.633,1.50800000000004,1.97999999999996
23.407,3.18400000000003,24.276,52.907,3.53600000000006,16.072
47.782,4.28899999999999,5.66899999999998,47.7040000000001,16.654,19.0490000000001
10.534,4.00999999999999,12.878,77.893,4.11500000000001,15.203
9.43099999999998,0.367000000000019,11.059,83.564,1.91700000000003,14.683
