"BRGL","Lasso","EN","OSCAR","BLasso","BEN"
255.195888688711,252.46746902367,255.365385060985,255.868558415482,305.515627855281,250.057685485396
356.452975933319,356.351368363332,339.593090505593,355.62099027774,411.317733360958,344.667832727363
277.702637146285,301.180567700474,281.430858165963,309.000091079075,324.233831989143,309.984151888351
255.205659430279,270.165934019535,261.122152996526,276.958233310361,265.992085593012,261.518082791005
324.617041973039,345.029778596879,341.341868860644,357.266176655899,369.978279985447,330.271562807329
276.643970698325,299.000579482323,283.64727541136,302.940526419568,320.373500833692,303.228478334071
242.77449679886,256.299159765762,245.826925443999,257.686624049528,265.719325842096,252.576098287684
288.854403349952,284.889280870692,278.609061236466,301.246790883021,322.379697042722,307.907830649261
242.153258801136,258.84262430907,246.598065053447,244.070848883624,283.704625287994,244.224372128454
248.859924022811,263.570258288949,262.97048752564,263.14568029271,299.602571656364,263.23608750622
