"","TPR","TNR","PPV","NPV"
"BRGL",100,90,87.5,100
"Lasso",100,50,46.4285714285714,100
"EN",100,60,55,100
"OSCAR",100,30,37.5,100
"BLasso",100,100,100,100
"BEN",83.3333333333333,100,100,91.6666666666667
