"BRGL","Lasso","EN","OSCAR","BLasso","BEN"
4.497,0.814000000000007,5.083,31.675,2.226,2.45499999999998
4.756,1.14399999999999,4.819,33.156,1.97099999999999,1.78200000000001
4.551,0.841999999999999,5.081,30.203,1.39,2.325
4.824,1.255,4.693,30.16,1.307,2.94199999999999
5.178,4.643,2.529,35.277,1.732,1.322
4.81,1.126,4.675,31.858,2.28700000000001,2.03400000000001
2.959,0.104000000000013,0.514999999999986,11.491,3.87699999999998,1.24200000000002
3.09199999999998,0.174000000000007,1.006,14.609,1.19,0.909999999999997
3.622,0.102000000000004,1.363,15.661,1.52699999999999,1.24599999999998
3.375,0.465000000000003,0.771999999999991,16.721,0.953999999999979,1.14099999999999
