"BRGL","Lasso","EN","OSCAR","BLasso","BEN"
238.942390563363,211.229442942675,208.622978506732,213.708991419139,255.852323882977,227.836774293171
467.723449756234,363.546929797677,361.17625610107,387.475975610744,480.355336448671,434.269139561983
346.481879230042,333.486774120853,327.105089548104,345.08005580967,376.252787239563,357.041842142946
272.284566714682,258.847198320513,257.521333627194,293.252489506102,265.379457330322,264.850159751613
288.510378512234,264.491656652229,260.922659348243,266.768717848246,298.099338052181,279.806335209845
301.567548964573,265.720468037415,281.067426579023,269.03360104299,326.136875664221,311.396280560728
284.851345070424,262.03909905694,265.791739986971,268.916709552939,303.842328041892,283.169596074255
331.516556625143,303.125195062184,297.358719267747,312.999374263566,359.370815511664,343.913565555323
242.199715505093,267.600254992966,247.887663627513,247.448840453039,248.041932877688,238.488611172561
281.808353410452,280.127997460826,256.538845717344,272.291105971674,311.877254166988,281.241917819652
