"","TPR","TNR","PPV","NPV"
"BRGL",66.6666666666667,90,83.3333333333333,83.3333333333333
"Lasso",100,60,55,100
"EN",100,50,55,100
"OSCAR",100,30,43.75,100
"BLasso",66.6666666666667,100,100,83.3333333333333
"BEN",66.6666666666667,90,83.3333333333333,81.6666666666667
