"","10th Pct","50th Pct","90th Pct","Median Time (s)"
"BRGL",242.712372999087,265.924815064302,327.800635369067,61.0835
"Lasso",255.915990691553,277.527607445114,346.161937573524,1.84350000000001
"EN",246.520951092502,270.789774381053,339.767968341098,5.82650000000001
"OSCAR",254.688787462296,289.102512096691,355.785508915556,132.73
"BLasso",265.96480961792,312.944564344486,374.112225322998,1.87600000000003
"BEN",249.474354149702,283.232282920145,331.711189799332,1.97899999999998
