"","10th Pct","50th Pct","90th Pct","Median Time (s)"
"BRGL",241.87398301092,286.680861791329,358.606036282661,73.2245
"Lasso",254.085422782729,266.660361515191,336.492789688535,5.80599999999998
"EN",243.961195115435,263.357199667607,330.512206203401,16.3345
"OSCAR",244.074855549649,270.662353507332,349.319647789777,120.7825
"BLasso",255.071284782448,307.85979110444,386.663042160474,5.74350000000004
"BEN",237.423427484622,282.205756946953,364.764571884849,8.12450000000001
