"","TPR","TNR","PPV","NPV"
"BRGL",47.5,80,70.7264957264957,59.6296296296296
"Lasso",67.5,70,70,70
"EN",70,60,65.0452488687783,70.4166666666667
"OSCAR",65,75,72.2222222222222,67.4242424242424
"BLasso",45,75,69.047619047619,56.9711538461538
"BEN",40,82.5,71.8253968253968,56.9047619047619
