"","10th Pct","50th Pct","90th Pct","Median Time (s)"
"BRGL",9.59132786360827,10.8471434034044,13.5279233596828,3.1075
"Lasso",10.3791179715949,14.0635839197902,16.0525281241376,0.320000000000007
"EN",9.21224447302613,12.903255960233,14.973450967366,1.07350000000001
"OSCAR",8.82372003210962,10.7468074839873,14.0537703686222,23.803
"BLasso",10.2460954411969,11.9612421144189,13.4514916069204,2.34100000000001
"BEN",8.89470036101878,10.6044597539681,14.3013951803617,3.1885
